varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
Szentendre,009,"Szentendre - 009",FIDESZ-KDNP,294,38.4816753926702,44.5040435903282,-6.02236819765809,771,0,0.0
"Budapest XV. kerület",045,"Budapest XV. kerület - 045",FIDESZ-KDNP,172,32.7619047619048,38.7852418523397,-6.02333709043495,531,0,0.0
"Siklós",008,"Siklós - 008",FIDESZ-KDNP,229,39.6880415944541,45.7120449975135,-6.02400340305947,579,0,0.0
"Budapest VIII. kerület",051,"Budapest VIII. kerület - 051",FIDESZ-KDNP,120,34.1880341880342,40.2132187543723,-6.02518456633815,353,0,0.0
"Székesfehérvár",040,"Székesfehérvár - 040",FIDESZ-KDNP,367,41.0974244120941,47.1295567163719,-6.03213230427787,900,0,0.0
Zalaegerszeg,047,"Zalaegerszeg - 047",FIDESZ-KDNP,242,43.4470377019749,49.4820238141564,-6.03498611218152,559,0,0.0
Miskolc,039,"Miskolc - 039",FIDESZ-KDNP,186,33.8181818181818,39.8552204069502,-6.03703858876836,556,0,0.0
Eger,009,"Eger - 009",FIDESZ-KDNP,233,37.7633711507293,43.8019274245268,-6.03855627379749,626,0,0.0
Balatonlelle,005,"Balatonlelle - 005",FIDESZ-KDNP,284,47.1760797342193,53.2167215774713,-6.04064184325201,606,0,0.0
"Budapest XVIII. kerület",037,"Budapest XVIII. kerület - 037",FIDESZ-KDNP,216,33.0275229357798,39.069729526465,-6.04220659068515,667,0,0.0
Kazincbarcika,013,"Kazincbarcika - 013",FIDESZ-KDNP,150,27.027027027027,33.0714864866759,-6.04445945964888,559,0,0.0
"Csömör",007,"Csömör - 007",FIDESZ-KDNP,305,34.9369988545246,40.984618026491,-6.0476191719664,878,0,0.0
"Geszteréd",002,"Geszteréd - 002",FIDESZ-KDNP,250,60.0961538461538,66.1533400809717,-6.05718623481781,424,0,0.0
Baja,012,"Baja - 012",FIDESZ-KDNP,314,42.7792915531335,48.837788243307,-6.05849669017346,740,0,0.0
"Pomáz",009,"Pomáz - 009",FIDESZ-KDNP,289,38.9487870619946,45.0101034174261,-6.06131635543147,747,0,0.0
"Budapest XVII. kerület",006,"Budapest XVII. kerület - 006",FIDESZ-KDNP,246,34.2141863699583,40.2786003966702,-6.0644140267119,719,0,0.0
"Pécs",134,"Pécs - 134",FIDESZ-KDNP,183,32.3893805309734,38.4655803319637,-6.07619980099025,567,0,0.0
