varos,sorszam,valasztokorzet,szavazat_tipus,ervenyes_szavazolapok,ervenytelen_szavazolapok,ervenytelen_arany
Debrecen,064,"Debrecen - 064",L,777,5,0.639386189258312
Zalaegerszeg,040,"Zalaegerszeg - 040",J,777,5,0.639386189258312
Eger,036,"Eger - 036",J,622,4,0.638977635782748
"Gödöllő",020,"Gödöllő - 020",J,622,4,0.638977635782748
"Gödöllő",020,"Gödöllő - 020",L,622,4,0.638977635782748
"Szőlősgyörök",002,"Szőlősgyörök - 002",L,311,2,0.638977635782748
"Csatár",001,"Csatár - 001",L,311,2,0.638977635782748
"Délegyháza",002,"Délegyháza - 002",J,778,5,0.638569604086845
"Dunavarsány",005,"Dunavarsány - 005",J,778,5,0.638569604086845
Szigetbecse,001,"Szigetbecse - 001",L,778,5,0.638569604086845
"Szigetszentmiklós",028,"Szigetszentmiklós - 028",J,778,5,0.638569604086845
"Budapest XXI. kerület",041,"Budapest XXI. kerület - 041",J,467,3,0.638297872340425
"Budapest XXI. kerület",041,"Budapest XXI. kerület - 041",L,467,3,0.638297872340425
"Pécs",135,"Pécs - 135",J,467,3,0.638297872340425
"Bőcs",003,"Bőcs - 003",L,467,3,0.638297872340425
Miskolc,142,"Miskolc - 142",J,467,3,0.638297872340425
"Polgár",001,"Polgár - 001",L,467,3,0.638297872340425
"Siófok",013,"Siófok - 013",L,467,3,0.638297872340425
"Budapest II. kerület",067,"Budapest II. kerület - 067",L,623,4,0.637958532695375
"Budapest XI. kerület",029,"Budapest XI. kerület - 029",L,623,4,0.637958532695375
"Győr",019,"Győr - 019",L,623,4,0.637958532695375
Debrecen,044,"Debrecen - 044",L,623,4,0.637958532695375
"Diósd",001,"Diósd - 001",L,623,4,0.637958532695375
"Budapest XXII. kerület",021,"Budapest XXII. kerület - 021",J,935,6,0.637619553666312
"Budapest I. kerület",019,"Budapest I. kerület - 019",J,780,5,0.636942675159236
"Budapest IV. kerület",030,"Budapest IV. kerület - 030",J,780,5,0.636942675159236
"Budapest IV. kerület",063,"Budapest IV. kerület - 063",L,780,5,0.636942675159236
"Budapest XVII. kerület",039,"Budapest XVII. kerület - 039",J,780,5,0.636942675159236
"Siklósnagyfalu",001,"Siklósnagyfalu - 001",J,156,1,0.636942675159236
"Szentlőrinc",001,"Szentlőrinc - 001",L,624,4,0.636942675159236
"Dövény",001,"Dövény - 001",L,156,1,0.636942675159236
"Mikóháza",001,"Mikóháza - 001",J,312,2,0.636942675159236
"Hódmezővásárhely",019,"Hódmezővásárhely - 019",J,624,4,0.636942675159236
"Sárbogárd",012,"Sárbogárd - 012",J,468,3,0.636942675159236
"Sárbogárd",012,"Sárbogárd - 012",L,468,3,0.636942675159236
"Győr",029,"Győr - 029",J,780,5,0.636942675159236
"Győr",029,"Győr - 029",L,780,5,0.636942675159236
"Hajdúböszörmény",014,"Hajdúböszörmény - 014",J,624,4,0.636942675159236
"Vasszécseny",002,"Vasszécseny - 002",L,468,3,0.636942675159236
Ajka,004,"Ajka - 004",J,780,5,0.636942675159236
"Tornyiszentmiklós",001,"Tornyiszentmiklós - 001",L,312,2,0.636942675159236
Debrecen,003,"Debrecen - 003",L,937,6,0.63626723223754
"Nagykovácsi",006,"Nagykovácsi - 006",L,937,6,0.63626723223754
"Budapest III. kerület",020,"Budapest III. kerület - 020",L,781,5,0.636132315521628
"Győr",015,"Győr - 015",J,781,5,0.636132315521628
"Győr",015,"Győr - 015",L,781,5,0.636132315521628
"Tárnok",006,"Tárnok - 006",J,781,5,0.636132315521628
Szombathely,061,"Szombathely - 061",J,781,5,0.636132315521628
"Budapest XI. kerület",025,"Budapest XI. kerület - 025",L,625,4,0.635930047694754
Miskolc,117,"Miskolc - 117",J,625,4,0.635930047694754
"Kópháza",002,"Kópháza - 002",L,625,4,0.635930047694754
"Nyíregyháza",010,"Nyíregyháza - 010",L,625,4,0.635930047694754
Szombathely,015,"Szombathely - 015",J,625,4,0.635930047694754
"Budapest XXI. kerület",047,"Budapest XXI. kerület - 047",L,469,3,0.635593220338983
"Pécs",112,"Pécs - 112",J,469,3,0.635593220338983
"Pécs",112,"Pécs - 112",L,469,3,0.635593220338983
"Maklár",001,"Maklár - 001",L,469,3,0.635593220338983
"Kesztölc",001,"Kesztölc - 001",J,469,3,0.635593220338983
"Adásztevel",001,"Adásztevel - 001",L,469,3,0.635593220338983
"Budapest IV. kerület",025,"Budapest IV. kerület - 025",J,782,5,0.635324015247776
"Budapest XI. kerület",064,"Budapest XI. kerület - 064",L,782,5,0.635324015247776
"Budapest XVIII. kerület",021,"Budapest XVIII. kerület - 021",J,782,5,0.635324015247776
"Győr",083,"Győr - 083",J,782,5,0.635324015247776
"Budapest XIX. kerület",021,"Budapest XIX. kerület - 021",J,626,4,0.634920634920635
"Pécs",138,"Pécs - 138",J,939,6,0.634920634920635
Kecel,002,"Kecel - 002",J,626,4,0.634920634920635
"Mezőberény",008,"Mezőberény - 008",L,626,4,0.634920634920635
"Óbarok",001,"Óbarok - 001",L,313,2,0.634920634920635
"Székesfehérvár",018,"Székesfehérvár - 018",L,626,4,0.634920634920635
"Nagyréde",002,"Nagyréde - 002",L,626,4,0.634920634920635
Bakonyszombathely,001,"Bakonyszombathely - 001",J,313,2,0.634920634920635
"Ludányhalászi",001,"Ludányhalászi - 001",L,313,2,0.634920634920635
"Siófok",010,"Siófok - 010",J,783,5,0.634517766497462
"Várpalota",015,"Várpalota - 015",J,783,5,0.634517766497462
"Budapest XXII. kerület",014,"Budapest XXII. kerület - 014",J,940,6,0.634249471458774
Kiskunhalas,021,"Kiskunhalas - 021",J,470,3,0.634249471458774
"Békéscsaba",027,"Békéscsaba - 027",J,470,3,0.634249471458774
"Békéscsaba",067,"Békéscsaba - 067",J,470,3,0.634249471458774
Miskolc,074,"Miskolc - 074",L,470,3,0.634249471458774
Balatonkenese,003,"Balatonkenese - 003",L,470,3,0.634249471458774
"Szentgál",001,"Szentgál - 001",L,470,3,0.634249471458774
"Budapest XIX. kerület",014,"Budapest XIX. kerület - 014",L,627,4,0.63391442155309
"Tiszafüred",007,"Tiszafüred - 007",J,627,4,0.63391442155309
Tata,015,"Tata - 015",L,627,4,0.63391442155309
"Budapest III. kerület",043,"Budapest III. kerület - 043",J,784,5,0.633713561470215
Szeged,308,"Szeged - 308",J,784,5,0.633713561470215
"Székesfehérvár",070,"Székesfehérvár - 070",L,784,5,0.633713561470215
"Budakalász",008,"Budakalász - 008",J,784,5,0.633713561470215
"Kőszeg",004,"Kőszeg - 004",L,784,5,0.633713561470215
"Alsópáhok",001,"Alsópáhok - 001",L,784,5,0.633713561470215
"Budapest IV. kerület",008,"Budapest IV. kerület - 008",J,785,5,0.632911392405063
"Budapest XI. kerület",052,"Budapest XI. kerület - 052",J,628,4,0.632911392405063
"Budapest XVIII. kerület",028,"Budapest XVIII. kerület - 028",J,785,5,0.632911392405063
"Kiskunfélegyháza",008,"Kiskunfélegyháza - 008",J,471,3,0.632911392405063
"Hódmezővásárhely",007,"Hódmezővásárhely - 007",J,471,3,0.632911392405063
Szentes,008,"Szentes - 008",J,471,3,0.632911392405063
"Dunaújváros",010,"Dunaújváros - 010",J,628,4,0.632911392405063
"Óbarok",001,"Óbarok - 001",J,314,2,0.632911392405063
"Tiszafüred",007,"Tiszafüred - 007",L,628,4,0.632911392405063
"Jákó",001,"Jákó - 001",J,314,2,0.632911392405063
"Lengyeltóti",003,"Lengyeltóti - 003",L,471,3,0.632911392405063
"Dombóvár",001,"Dombóvár - 001",L,471,3,0.632911392405063
"Ják",002,"Ják - 002",J,628,4,0.632911392405063
"Ják",002,"Ják - 002",L,628,4,0.632911392405063
Szombathely,023,"Szombathely - 023",J,628,4,0.632911392405063
"Csömödér",001,"Csömödér - 001",J,314,2,0.632911392405063
"Budapest XIV. kerület",036,"Budapest XIV. kerület - 036",J,943,6,0.632244467860906
"Kóny",001,"Kóny - 001",J,786,5,0.632111251580278
"Nyíregyháza",017,"Nyíregyháza - 017",L,786,5,0.632111251580278
"Tiszalök",002,"Tiszalök - 002",J,629,4,0.631911532385466
Zalaegerszeg,039,"Zalaegerszeg - 039",J,629,4,0.631911532385466
"Kétegyháza",001,"Kétegyháza - 001",L,472,3,0.631578947368421
"Ózd",007,"Ózd - 007",L,472,3,0.631578947368421
"Gárdony",003,"Gárdony - 003",L,944,6,0.631578947368421
"Székesfehérvár",090,"Székesfehérvár - 090",L,944,6,0.631578947368421
"Oroszlány",008,"Oroszlány - 008",L,472,3,0.631578947368421
"Gödöllő",021,"Gödöllő - 021",L,787,5,0.631313131313131
"Budapest X. kerület",031,"Budapest X. kerület - 031",L,630,4,0.630914826498423
"Budapest XIV. kerület",034,"Budapest XIV. kerület - 034",J,945,6,0.630914826498423
Szeghalom,003,"Szeghalom - 003",L,630,4,0.630914826498423
"Kápolna",002,"Kápolna - 002",J,315,2,0.630914826498423
"Dunaalmás",002,"Dunaalmás - 002",L,315,2,0.630914826498423
"Veszprém",035,"Veszprém - 035",J,630,4,0.630914826498423
"Celldömölk",002,"Celldömölk - 002",L,788,5,0.630517023959647
"Budapest XVIII. kerület",053,"Budapest XVIII. kerület - 053",J,946,6,0.630252100840336
"Oroszlány",008,"Oroszlány - 008",J,473,3,0.630252100840336
"Tápiószele",006,"Tápiószele - 006",L,473,3,0.630252100840336
"Budapest IX. kerület",020,"Budapest IX. kerület - 020",J,631,4,0.62992125984252
"Budapest X. kerület",031,"Budapest X. kerület - 031",J,631,4,0.62992125984252
"Budapest XI. kerület",091,"Budapest XI. kerület - 091",L,631,4,0.62992125984252
"Budapest XVIII. kerület",048,"Budapest XVIII. kerület - 048",J,631,4,0.62992125984252
"Veresegyház",012,"Veresegyház - 012",J,631,4,0.62992125984252
"Budapest XIX. kerület",040,"Budapest XIX. kerület - 040",J,789,5,0.629722921914358
Csorna,005,"Csorna - 005",J,789,5,0.629722921914358
Csorna,005,"Csorna - 005",L,789,5,0.629722921914358
"Tatabánya",058,"Tatabánya - 058",L,789,5,0.629722921914358
"Budapest XIII. kerület",041,"Budapest XIII. kerület - 041",L,632,4,0.628930817610063
"Budapest XVIII. kerület",048,"Budapest XVIII. kerület - 048",L,632,4,0.628930817610063
Kecel,006,"Kecel - 006",L,632,4,0.628930817610063
"Edelény",005,"Edelény - 005",L,632,4,0.628930817610063
"Magyaralmás",001,"Magyaralmás - 001",L,948,6,0.628930817610063
"Mór",010,"Mór - 010",J,474,3,0.628930817610063
"Győr",081,"Győr - 081",J,790,5,0.628930817610063
Debrecen,036,"Debrecen - 036",J,632,4,0.628930817610063
Szolnok,042,"Szolnok - 042",L,474,3,0.628930817610063
Endrefalva,001,"Endrefalva - 001",J,474,3,0.628930817610063
"Monorierdő",004,"Monorierdő - 004",J,632,4,0.628930817610063
Kapoly,001,"Kapoly - 001",J,316,2,0.628930817610063
"Nagyatád",005,"Nagyatád - 005",L,790,5,0.628930817610063
Berkesz,001,"Berkesz - 001",L,474,3,0.628930817610063
"Kőszeg",008,"Kőszeg - 008",J,474,3,0.628930817610063
"Szentgotthárd",010,"Szentgotthárd - 010",J,158,1,0.628930817610063
Zalaegerszeg,037,"Zalaegerszeg - 037",L,790,5,0.628930817610063
"Komárom",010,"Komárom - 010",J,949,6,0.628272251308901
"Ballószög",003,"Ballószög - 003",L,791,5,0.628140703517588
Zalaegerszeg,041,"Zalaegerszeg - 041",J,791,5,0.628140703517588
"Budapest VII. kerület",038,"Budapest VII. kerület - 038",J,633,4,0.627943485086342
Miskolc,020,"Miskolc - 020",L,633,4,0.627943485086342
Kiskunhalas,025,"Kiskunhalas - 025",J,475,3,0.627615062761506
Miskolc,025,"Miskolc - 025",L,475,3,0.627615062761506
Nagyecsed,006,"Nagyecsed - 006",J,475,3,0.627615062761506
"Budapest XVI. kerület",003,"Budapest XVI. kerület - 003",J,792,5,0.627352572145546
Nagykanizsa,028,"Nagykanizsa - 028",J,792,5,0.627352572145546
Nagykanizsa,028,"Nagykanizsa - 028",L,792,5,0.627352572145546
"Orosháza",007,"Orosháza - 007",L,317,2,0.626959247648903
Szeged,201,"Szeged - 201",L,951,6,0.626959247648903
"Sárbogárd",003,"Sárbogárd - 003",J,317,2,0.626959247648903
"Vág",001,"Vág - 001",J,317,2,0.626959247648903
Dunakeszi,005,"Dunakeszi - 005",J,793,5,0.6265664160401
Dunakeszi,005,"Dunakeszi - 005",L,793,5,0.6265664160401
"Pécs",013,"Pécs - 013",L,476,3,0.626304801670146
"Pécs",106,"Pécs - 106",J,476,3,0.626304801670146
"Pécs",106,"Pécs - 106",L,476,3,0.626304801670146
"Békéscsaba",022,"Békéscsaba - 022",J,476,3,0.626304801670146
"Polgárdi",005,"Polgárdi - 005",L,476,3,0.626304801670146
"Kaposvár",009,"Kaposvár - 009",L,476,3,0.626304801670146
"Győr",016,"Győr - 016",J,635,4,0.625978090766823
Monor,007,"Monor - 007",L,635,4,0.625978090766823
Zirc,005,"Zirc - 005",L,635,4,0.625978090766823
"Budapest I. kerület",014,"Budapest I. kerület - 014",L,794,5,0.625782227784731
"Pécs",095,"Pécs - 095",L,794,5,0.625782227784731
Debrecen,014,"Debrecen - 014",J,794,5,0.625782227784731
"Balatonvilágos",001,"Balatonvilágos - 001",L,794,5,0.625782227784731
"Budapest III. kerület",075,"Budapest III. kerület - 075",J,636,4,0.625
"Drágszél",001,"Drágszél - 001",J,159,1,0.625
"Drágszél",001,"Drágszél - 001",L,159,1,0.625
Miskolc,030,"Miskolc - 030",J,477,3,0.625
Miskolc,113,"Miskolc - 113",J,477,3,0.625
Vadna,001,"Vadna - 001",J,318,2,0.625
Vadna,001,"Vadna - 001",L,318,2,0.625
"Hódmezővásárhely",042,"Hódmezővásárhely - 042",J,159,1,0.625
"Hódmezővásárhely",042,"Hódmezővásárhely - 042",L,159,1,0.625
"Tét",001,"Tét - 001",L,636,4,0.625
Kaba,002,"Kaba - 002",L,636,4,0.625
Esztergom,023,"Esztergom - 023",L,636,4,0.625
Tata,020,"Tata - 020",L,636,4,0.625
"Nyáregyháza",001,"Nyáregyháza - 001",J,636,4,0.625
"Nyáregyháza",001,"Nyáregyháza - 001",L,636,4,0.625
Pilis,007,"Pilis - 007",L,636,4,0.625
Piliscsaba,004,"Piliscsaba - 004",J,636,4,0.625
"Nyíregyháza",072,"Nyíregyháza - 072",J,477,3,0.625
"Nyíregyháza",072,"Nyíregyháza - 072",L,477,3,0.625
Tiszanagyfalu,003,"Tiszanagyfalu - 003",J,159,1,0.625
Miszla,001,"Miszla - 001",J,159,1,0.625
"Kőszegdoroszló",001,"Kőszegdoroszló - 001",L,159,1,0.625
Lesencetomaj,001,"Lesencetomaj - 001",J,477,3,0.625
"Budapest XI. kerület",072,"Budapest XI. kerület - 072",L,796,5,0.624219725343321
"Budapest II. kerület",018,"Budapest II. kerület - 018",J,637,4,0.62402496099844
"Tiszaújváros",006,"Tiszaújváros - 006",L,637,4,0.62402496099844
"Cserkeszőlő",001,"Cserkeszőlő - 001",J,637,4,0.62402496099844
"Cserkeszőlő",001,"Cserkeszőlő - 001",L,637,4,0.62402496099844
"Gyömrő",002,"Gyömrő - 002",J,637,4,0.62402496099844
Ajka,012,"Ajka - 012",L,637,4,0.62402496099844
Keszthely,012,"Keszthely - 012",J,637,4,0.62402496099844
"Budapest IX. kerület",009,"Budapest IX. kerület - 009",L,478,3,0.623700623700624
"Budapest XI. kerület",101,"Budapest XI. kerület - 101",L,478,3,0.623700623700624
"Pécs",039,"Pécs - 039",L,478,3,0.623700623700624
"Kecskemét",005,"Kecskemét - 005",J,478,3,0.623700623700624
"Bogács",001,"Bogács - 001",J,478,3,0.623700623700624
"Tatárszentgyörgy",001,"Tatárszentgyörgy - 001",L,478,3,0.623700623700624
Kocsola,001,"Kocsola - 001",J,478,3,0.623700623700624
Lesencetomaj,001,"Lesencetomaj - 001",L,478,3,0.623700623700624
"Kecskemét",074,"Kecskemét - 074",J,797,5,0.623441396508728
"Érd",025,"Érd - 025",J,797,5,0.623441396508728
"Budapest V. kerület",001,"Budapest V. kerület - 001",L,638,4,0.623052959501558
"Budapest XIV. kerület",060,"Budapest XIV. kerület - 060",J,957,6,0.623052959501558
"Békéscsaba",047,"Békéscsaba - 047",J,638,4,0.623052959501558
"Tatabánya",037,"Tatabánya - 037",L,638,4,0.623052959501558
"Üllő",008,"Üllő - 008",J,957,6,0.623052959501558
"Budapest VIII. kerület",049,"Budapest VIII. kerület - 049",L,798,5,0.62266500622665
"Érd",025,"Érd - 025",L,798,5,0.62266500622665
Szeged,107,"Szeged - 107",L,958,6,0.622406639004149
"Szilvásvárad",002,"Szilvásvárad - 002",J,479,3,0.622406639004149
Szolnok,020,"Szolnok - 020",J,479,3,0.622406639004149
"Mátészalka",008,"Mátészalka - 008",L,479,3,0.622406639004149
"Bonyhád",006,"Bonyhád - 006",J,479,3,0.622406639004149
Dunaharaszti,013,"Dunaharaszti - 013",J,799,5,0.621890547263682
"Budapest III. kerület",056,"Budapest III. kerület - 056",J,640,4,0.62111801242236
"Budapest X. kerület",071,"Budapest X. kerület - 071",L,640,4,0.62111801242236
"Budapest XVII. kerület",059,"Budapest XVII. kerület - 059",L,800,5,0.62111801242236
Baja,028,"Baja - 028",L,480,3,0.62111801242236
Szerencs,010,"Szerencs - 010",J,320,2,0.62111801242236
"Sárkeresztúr",001,"Sárkeresztúr - 001",L,320,2,0.62111801242236
"Mosonmagyaróvár",013,"Mosonmagyaróvár - 013",J,640,4,0.62111801242236
"Jászberény",018,"Jászberény - 018",J,640,4,0.62111801242236
"Tatabánya",023,"Tatabánya - 023",L,640,4,0.62111801242236
Piliny,001,"Piliny - 001",J,320,2,0.62111801242236
Kartal,006,"Kartal - 006",J,480,3,0.62111801242236
Kartal,006,"Kartal - 006",L,480,3,0.62111801242236
"Pápadereske",001,"Pápadereske - 001",J,160,1,0.62111801242236
"Pápadereske",001,"Pápadereske - 001",L,160,1,0.62111801242236
Zalaegerszeg,002,"Zalaegerszeg - 002",L,800,5,0.62111801242236
Szeged,408,"Szeged - 408",J,801,5,0.620347394540943
"Komló",004,"Komló - 004",J,641,4,0.62015503875969
"Csanádapáca",002,"Csanádapáca - 002",L,641,4,0.62015503875969
"Mád",001,"Mád - 001",J,641,4,0.62015503875969
"Füzesabony",004,"Füzesabony - 004",J,641,4,0.62015503875969
Ajka,018,"Ajka - 018",J,641,4,0.62015503875969
"Budapest XII. kerület",045,"Budapest XII. kerület - 045",J,481,3,0.619834710743802
"Budapest XX. kerület",029,"Budapest XX. kerület - 029",J,481,3,0.619834710743802
"Szentistván",002,"Szentistván - 002",L,481,3,0.619834710743802
"Sárrétudvari",003,"Sárrétudvari - 003",L,481,3,0.619834710743802
"Cegléd",012,"Cegléd - 012",J,481,3,0.619834710743802
"Cegléd",030,"Cegléd - 030",J,481,3,0.619834710743802
"Cegléd",030,"Cegléd - 030",L,481,3,0.619834710743802
Debrecen,107,"Debrecen - 107",J,802,5,0.619578686493185
"Sárvár",016,"Sárvár - 016",J,802,5,0.619578686493185
"Budapest III. kerület",066,"Budapest III. kerület - 066",L,642,4,0.619195046439629
"Budapest VIII. kerület",052,"Budapest VIII. kerület - 052",L,642,4,0.619195046439629
"Budapest XVIII. kerület",071,"Budapest XVIII. kerület - 071",J,642,4,0.619195046439629
"Sárkeszi",001,"Sárkeszi - 001",J,321,2,0.619195046439629
"Sárkeszi",001,"Sárkeszi - 001",L,321,2,0.619195046439629
"Cegléd",015,"Cegléd - 015",L,642,4,0.619195046439629
"Pécs",113,"Pécs - 113",L,482,3,0.618556701030928
Miskolc,083,"Miskolc - 083",L,482,3,0.618556701030928
"Dunaújváros",020,"Dunaújváros - 020",L,482,3,0.618556701030928
"Lovasberény",002,"Lovasberény - 002",J,482,3,0.618556701030928
"Budapest III. kerület",036,"Budapest III. kerület - 036",J,643,4,0.618238021638331
"Budapest III. kerület",067,"Budapest III. kerület - 067",J,643,4,0.618238021638331
"Budapest XI. kerület",057,"Budapest XI. kerület - 057",J,643,4,0.618238021638331
"Budapest XV. kerület",033,"Budapest XV. kerület - 033",L,643,4,0.618238021638331
"Budapest XVIII. kerület",071,"Budapest XVIII. kerület - 071",L,643,4,0.618238021638331
"Budapest XXIII. kerület",019,"Budapest XXIII. kerület - 019",J,643,4,0.618238021638331
Szank,002,"Szank - 002",J,643,4,0.618238021638331
Szank,002,"Szank - 002",L,643,4,0.618238021638331
"Budapest III. kerület",076,"Budapest III. kerület - 076",J,804,5,0.618046971569839
"Cegléd",003,"Cegléd - 003",J,804,5,0.618046971569839
"Cegléd",003,"Cegléd - 003",L,804,5,0.618046971569839
"Üröm",004,"Üröm - 004",L,965,6,0.617919670442842
"Budapest X. kerület",075,"Budapest X. kerület - 075",J,483,3,0.617283950617284
"Budapest XI. kerület",033,"Budapest XI. kerület - 033",J,644,4,0.617283950617284
"Budapest XI. kerület",092,"Budapest XI. kerület - 092",L,644,4,0.617283950617284
"Pécsvárad",002,"Pécsvárad - 002",J,805,5,0.617283950617284
"Pécsvárad",002,"Pécsvárad - 002",L,805,5,0.617283950617284
"Szigetvár",010,"Szigetvár - 010",J,161,1,0.617283950617284
"Szigetvár",010,"Szigetvár - 010",L,161,1,0.617283950617284
"Békéscsaba",039,"Békéscsaba - 039",J,483,3,0.617283950617284
"Mezőberény",004,"Mezőberény - 004",L,644,4,0.617283950617284
"Mezőkovácsháza",002,"Mezőkovácsháza - 002",J,644,4,0.617283950617284
Uppony,001,"Uppony - 001",L,161,1,0.617283950617284
"Lovasberény",002,"Lovasberény - 002",L,483,3,0.617283950617284
"Tác",001,"Tác - 001",J,483,3,0.617283950617284
"Rákóczibánya",001,"Rákóczibánya - 001",J,322,2,0.617283950617284
"Cegléd",020,"Cegléd - 020",L,644,4,0.617283950617284
"Vác",009,"Vác - 009",L,644,4,0.617283950617284
"Nyíregyháza",056,"Nyíregyháza - 056",J,483,3,0.617283950617284
"Söpte",001,"Söpte - 001",J,483,3,0.617283950617284
"Eplény",001,"Eplény - 001",J,322,2,0.617283950617284
"Tarján",002,"Tarján - 002",J,806,5,0.61652281134402
"Budapest XI. kerület",004,"Budapest XI. kerület - 004",J,645,4,0.61633281972265
"Budapest XIX. kerület",024,"Budapest XIX. kerület - 024",L,645,4,0.61633281972265
"Mór",009,"Mór - 009",L,645,4,0.61633281972265
"Ózd",015,"Ózd - 015",J,484,3,0.616016427104723
"Gégény",001,"Gégény - 001",J,484,3,0.616016427104723
"Nyírpazony",002,"Nyírpazony - 002",L,484,3,0.616016427104723
"Budapest XIV. kerület",006,"Budapest XIV. kerület - 006",L,807,5,0.61576354679803
"Székesfehérvár",077,"Székesfehérvár - 077",J,807,5,0.61576354679803
"Nyírbátor",005,"Nyírbátor - 005",J,807,5,0.61576354679803
"Budapest II. kerület",051,"Budapest II. kerület - 051",L,646,4,0.615384615384615
Tapolca,001,"Tapolca - 001",L,646,4,0.615384615384615
Keszthely,001,"Keszthely - 001",J,646,4,0.615384615384615
"Nyírbátor",005,"Nyírbátor - 005",L,808,5,0.615006150061501
"Budapest X. kerület",069,"Budapest X. kerület - 069",J,485,3,0.614754098360656
"Budapest XIV. kerület",027,"Budapest XIV. kerület - 027",J,970,6,0.614754098360656
Tompa,002,"Tompa - 002",J,485,3,0.614754098360656
"Ásotthalom",001,"Ásotthalom - 001",J,485,3,0.614754098360656
Kisfalud,001,"Kisfalud - 001",L,485,3,0.614754098360656
"Budapest II. kerület",015,"Budapest II. kerület - 015",J,647,4,0.614439324116744
"Budapest XIII. kerület",055,"Budapest XIII. kerület - 055",L,647,4,0.614439324116744
"Budapest XV. kerület",026,"Budapest XV. kerület - 026",J,647,4,0.614439324116744
"Budapest XX. kerület",039,"Budapest XX. kerület - 039",L,647,4,0.614439324116744
Kistokaj,002,"Kistokaj - 002",J,647,4,0.614439324116744
Szolnok,005,"Szolnok - 005",J,647,4,0.614439324116744
"Oroszlány",011,"Oroszlány - 011",J,647,4,0.614439324116744
Keszthely,001,"Keszthely - 001",L,647,4,0.614439324116744
"Budapest XVIII. kerület",040,"Budapest XVIII. kerület - 040",L,809,5,0.614250614250614
"Budapest III. kerület",009,"Budapest III. kerület - 009",L,648,4,0.613496932515337
"Budapest VII. kerület",001,"Budapest VII. kerület - 001",J,486,3,0.613496932515337
"Budapest VII. kerület",001,"Budapest VII. kerület - 001",L,486,3,0.613496932515337
"Budapest XI. kerület",034,"Budapest XI. kerület - 034",J,486,3,0.613496932515337
"Budapest XI. kerület",103,"Budapest XI. kerület - 103",L,648,4,0.613496932515337
"Budapest XIV. kerület",015,"Budapest XIV. kerület - 015",L,810,5,0.613496932515337
Tompa,002,"Tompa - 002",L,486,3,0.613496932515337
Kardos,001,"Kardos - 001",L,324,2,0.613496932515337
Miskolc,092,"Miskolc - 092",L,324,2,0.613496932515337
"Csanádpalota",003,"Csanádpalota - 003",J,486,3,0.613496932515337
"Répceszemere",001,"Répceszemere - 001",L,162,1,0.613496932515337
"Ipolyszög",001,"Ipolyszög - 001",J,324,2,0.613496932515337
"Kaposvár",027,"Kaposvár - 027",J,486,3,0.613496932515337
"Kaposvár",036,"Kaposvár - 036",L,324,2,0.613496932515337
"Vásárosnamény",005,"Vásárosnamény - 005",J,486,3,0.613496932515337
"Felsőnána",001,"Felsőnána - 001",L,324,2,0.613496932515337
"Horvátzsidány",001,"Horvátzsidány - 001",L,486,3,0.613496932515337
"Zalaszentgrót",008,"Zalaszentgrót - 008",J,162,1,0.613496932515337
"Zalaszentgrót",008,"Zalaszentgrót - 008",L,162,1,0.613496932515337
"Budapest XIV. kerület",015,"Budapest XIV. kerület - 015",J,811,5,0.612745098039216
"Székesfehérvár",053,"Székesfehérvár - 053",J,649,4,0.612557427258806
"Balatonalmádi",002,"Balatonalmádi - 002",L,649,4,0.612557427258806
"Kiskunfélegyháza",004,"Kiskunfélegyháza - 004",L,487,3,0.612244897959184
"Orosháza",004,"Orosháza - 004",J,487,3,0.612244897959184
"Tatabánya",042,"Tatabánya - 042",J,487,3,0.612244897959184
"Szekszárd",003,"Szekszárd - 003",J,487,3,0.612244897959184
"Tolnanémedi",001,"Tolnanémedi - 001",J,487,3,0.612244897959184
"Tolnanémedi",001,"Tolnanémedi - 001",L,487,3,0.612244897959184
Letenye,002,"Letenye - 002",J,487,3,0.612244897959184
"Budapest XVII. kerület",056,"Budapest XVII. kerület - 056",J,812,5,0.611995104039168
"Martonvásár",002,"Martonvásár - 002",J,812,5,0.611995104039168
"Érd",026,"Érd - 026",J,812,5,0.611995104039168
"Érd",026,"Érd - 026",L,812,5,0.611995104039168
"Tököl",008,"Tököl - 008",J,812,5,0.611995104039168
"Budapest XXI. kerület",040,"Budapest XXI. kerület - 040",L,650,4,0.611620795107034
Dombiratos,001,"Dombiratos - 001",L,325,2,0.611620795107034
"Győr",048,"Győr - 048",L,650,4,0.611620795107034
Debrecen,002,"Debrecen - 002",J,325,2,0.611620795107034
Debrecen,002,"Debrecen - 002",L,325,2,0.611620795107034
"Kecskemét",075,"Kecskemét - 075",L,813,5,0.611246943765281
Miskolc,132,"Miskolc - 132",J,488,3,0.610997963340122
"Kisbér",003,"Kisbér - 003",J,488,3,0.610997963340122
"Pécs",137,"Pécs - 137",L,651,4,0.610687022900763
"Sajószentpéter",007,"Sajószentpéter - 007",J,651,4,0.610687022900763
"Mátészalka",012,"Mátészalka - 012",L,651,4,0.610687022900763
"Budapest XIII. kerület",018,"Budapest XIII. kerület - 018",J,814,5,0.610500610500611
"Maglód",005,"Maglód - 005",L,814,5,0.610500610500611
"Budapest IV. kerület",024,"Budapest IV. kerület - 024",L,815,5,0.609756097560976
"Budapest X. kerület",044,"Budapest X. kerület - 044",L,489,3,0.609756097560976
"Budapest XIII. kerület",018,"Budapest XIII. kerület - 018",L,815,5,0.609756097560976
